SCIENTIFIC NAME,TRADE NAME,INDICATION,ICD 10 CODE
"TRIAMCINOLONE, NYSTATIN, NEOMYCIN, GRAMICIDIN",AMOCOMB CR 15G (N),RENAL TRANSPLANT,Z94.0
"TRIAMCINOLONE, NYSTATIN, NEOMYCIN, GRAMICIDIN",AMOCOMB CR 15G (N),FUNGAL INFECTIONS OF THE GENITAL TRACT - CANDIDIASIS OF OTHER UROGENITAL SITES,B37.4
"TRIAMCINOLONE, NYSTATIN, NEOMYCIN, GRAMICIDIN",AMOCOMB CR 15G (N),OROPHARYNGEAL CANDIDIASIS,"B37.0, B37.88"
AMOROLFINE,AMOROLFINE 5% NAIL SOL 5 ML (N),"ONYCHOMYCOSIS ,TINEA UNGUIUM",B35.1
APREPITANT,APREPITANT (1) CAP 125 MG & (2) CAP 80 MG ORAL(N),NAUSEA AND VOMITING IN CANCER,R11
APREPITANT,APREPITANT (1) CAP 125 MG & (2) CAP 80 MG ORAL(N),POLYCYTHEMIA VERA - PRURITUS,D45
CEFUROXIME AXETIL,APROKAM 50 MG (INTRACAMERAL INJ) VIAL 1'S(N),LOWER URINARY TRACT INFECTIONS,"N30.0, N33.0, N34.0"
CEFUROXIME AXETIL,APROKAM 50 MG (INTRACAMERAL INJ) VIAL 1'S(N),ACUTE PYELONEPHRITIS,N10
CEFUROXIME AXETIL,APROKAM 50 MG (INTRACAMERAL INJ) VIAL 1'S(N),COMMUNITY ACQUIRED PNEUMONEA,J18.9
CEFUROXIME AXETIL,APROKAM 50 MG (INTRACAMERAL INJ) VIAL 1'S(N),TRAVEL RELATED INFECTIONS-TREATMENT,"B06, B50, B51, B52, B53, B54, B55, B26, A00, A01.0, A39, A83.0, A95, A97, J09, J11, B34.2, B97.2, A35, A36, A37.0, A20, A92, A80, A27, A15, A16, A22"
CEFUROXIME AXETIL,APROKAM 50 MG (INTRACAMERAL INJ) VIAL 1'S(N),Pyogenic Arthritis,M00
CEFUROXIME AXETIL,APROKAM 50 MG (INTRACAMERAL INJ) VIAL 1'S(N),BACTERIAL SKIN INFECTIONS - IMPETIGO AND ECTHYMA,"L01, L08"
